The Hunger Games: Catching Fire,http://www.imdb.com/title/tt1951264/
Iron Man 3,http://www.imdb.com/title/tt1300854/
Frozen,http://www.imdb.com/title/tt2294629/
Despicable Me 2,http://www.imdb.com/title/tt1690953/
Man of Steel,http://www.imdb.com/title/tt0770828/
Gravity,http://www.imdb.com/title/tt1454468/
Monsters University,http://www.imdb.com/title/tt1453405/
The Hobbit: The Desolation of Smaug,http://www.imdb.com/title/tt1170358/
Fast & Furious 6,http://www.imdb.com/title/tt1905041/
Oz the Great and Powerful,http://www.imdb.com/title/tt1623205/
Star Trek Into Darkness,http://www.imdb.com/title/tt1408101/
Thor: The Dark World,http://www.imdb.com/title/tt1981115/
World War Z,http://www.imdb.com/title/tt0816711/
The Croods,http://www.imdb.com/title/tt0481499/
The Heat,http://www.imdb.com/title/tt2404463/
We're the Millers,http://www.imdb.com/title/tt1723121/
American Hustle,http://www.imdb.com/title/tt1800241/
The Great Gatsby,http://www.imdb.com/title/tt1343092/
The Conjuring,http://www.imdb.com/title/tt1457767/
Identity Thief,http://www.imdb.com/title/tt2024432/
Grown Ups 2,http://www.imdb.com/title/tt2191701/
The Wolverine,http://www.imdb.com/title/tt1430132/
Lone Survivor,http://www.imdb.com/title/tt1091191/
G.I. Joe: Retaliation,http://www.imdb.com/title/tt1583421/
Cloudy with a Chance of Meatballs 2,http://www.imdb.com/title/tt1985966/
Now You See Me,http://www.imdb.com/title/tt1670345/
The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/
Lee Daniels' The Butler,http://www.imdb.com/title/tt1327773/
The Hangover Part III,http://www.imdb.com/title/tt1951261/
Epic,http://www.imdb.com/title/tt0848537/
Captain Phillips,http://www.imdb.com/title/tt1535109/
Bad Grandpa,http://www.imdb.com/title/tt3063516/
Pacific Rim,http://www.imdb.com/title/tt1663662/
This Is the End,http://www.imdb.com/title/tt1245492/
Olympus Has Fallen,http://www.imdb.com/title/tt2302755/
42,http://www.imdb.com/title/tt0453562/
Elysium,http://www.imdb.com/title/tt1535108/
Planes,http://www.imdb.com/title/tt1691917/
The Lone Ranger,http://www.imdb.com/title/tt1210819/
Oblivion,http://www.imdb.com/title/tt1483013/
Insidious: Chapter 2,http://www.imdb.com/title/tt2226417/
Saving Mr. Banks,http://www.imdb.com/title/tt2140373/
Turbo,http://www.imdb.com/title/tt1860353/
2 Guns,http://www.imdb.com/title/tt1272878/
White House Down,http://www.imdb.com/title/tt2334879/
Mama,http://www.imdb.com/title/tt2023587/
Safe Haven,http://www.imdb.com/title/tt1702439/
The Smurfs 2,http://www.imdb.com/title/tt2017020/
The Best Man Holiday,http://www.imdb.com/title/tt2083355/
Percy Jackson: Sea of Monsters,http://www.imdb.com/title/tt1854564/
